culmen_length_mm,culmen_depth_mm
39.1,18.7
39.5,17.4
40.3,18
36.7,19.3
39.3,20.6
38.9,17.8
39.2,19.6
34.1,18.1
42,20.2
37.8,17.1
37.8,17.3
41.1,17.6
38.6,21.2
34.6,21.1
36.6,17.8
38.7,19
42.5,20.7
34.4,18.4
46,21.5
37.8,18.3
37.7,18.7
35.9,19.2
38.2,18.1
38.8,17.2
35.3,18.9
40.6,18.6
40.5,17.9
37.9,18.6
40.5,18.9
39.5,16.7
37.2,18.1
39.5,17.8
40.9,18.9
36.4,17
39.2,21.1
38.8,20
42.2,18.5
37.6,19.3
39.8,19.1
36.5,18
40.8,18.4
36,18.5
44.1,19.7
37,16.9
39.6,18.8
41.1,19
37.5,18.9
36,17.9
42.3,21.2
39.6,17.7
40.1,18.9
35,17.9
42,19.5
34.5,18.1
41.4,18.6
39,17.5
40.6,18.8
36.5,16.6
37.6,19.1
35.7,16.9
41.3,21.1
37.6,17
41.1,18.2
36.4,17.1
41.6,18
35.5,16.2
41.1,19.1
35.9,16.6
41.8,19.4
33.5,19
39.7,18.4
39.6,17.2
45.8,18.9
35.5,17.5
42.8,18.5
40.9,16.8
37.2,19.4
36.2,16.1
42.1,19.1
34.6,17.2
42.9,17.6
36.7,18.8
35.1,19.4
37.3,17.8
41.3,20.3
36.3,19.5
36.9,18.6
38.3,19.2
38.9,18.8
35.7,18
41.1,18.1
34,17.1
39.6,18.1
36.2,17.3
40.8,18.9
38.1,18.6
40.3,18.5
33.1,16.1
43.2,18.5
35,17.9
41,20
37.7,16
37.8,20
37.9,18.6
39.7,18.9
38.6,17.2
38.2,20
38.1,17
43.2,19
38.1,16.5
45.6,20.3
39.7,17.7
42.2,19.5
39.6,20.7
42.7,18.3
38.6,17
37.3,20.5
35.7,17
41.1,18.6
36.2,17.2
37.7,19.8
40.2,17
41.4,18.5
35.2,15.9
40.6,19
38.8,17.6
41.5,18.3
39,17.1
44.1,18
38.5,17.9
43.1,19.2
36.8,18.5
37.5,18.5
38.1,17.6
41.1,17.5
35.6,17.5
40.2,20.1
37,16.5
39.7,17.9
40.2,17.1
40.6,17.2
32.1,15.5
40.7,17
37.3,16.8
39,18.7
39.2,18.6
36.6,18.4
36,17.8
37.8,18.1
36,17.1
41.5,18.5
46.5,17.9
50,19.5
51.3,19.2
45.4,18.7
52.7,19.8
45.2,17.8
46.1,18.2
51.3,18.2
46,18.9
51.3,19.9
46.6,17.8
51.7,20.3
47,17.3
52,18.1
45.9,17.1
50.5,19.6
50.3,20
58,17.8
46.4,18.6
49.2,18.2
42.4,17.3
48.5,17.5
43.2,16.6
50.6,19.4
46.7,17.9
52,19
50.5,18.4
49.5,19
46.4,17.8
52.8,20
40.9,16.6
54.2,20.8
42.5,16.7
51,18.8
49.7,18.6
47.5,16.8
47.6,18.3
52,20.7
46.9,16.6
53.5,19.9
49,19.5
46.2,17.5
50.9,19.1
45.5,17
50.9,17.9
50.8,18.5
50.1,17.9
49,19.6
51.5,18.7
49.8,17.3
48.1,16.4
51.4,19
45.7,17.3
50.7,19.7
42.5,17.3
52.2,18.8
45.2,16.6
49.3,19.9
50.2,18.8
45.6,19.4
51.9,19.5
46.8,16.5
45.7,17
55.8,19.8
43.5,18.1
49.6,18.2
50.8,19
50.2,18.7
46.1,13.2
50,16.3
48.7,14.1
50,15.2
47.6,14.5
46.5,13.5
45.4,14.6
46.7,15.3
43.3,13.4
46.8,15.4
40.9,13.7
49,16.1
45.5,13.7
48.4,14.6
45.8,14.6
49.3,15.7
42,13.5
49.2,15.2
46.2,14.5
48.7,15.1
50.2,14.3
45.1,14.5
46.5,14.5
46.3,15.8
42.9,13.1
46.1,15.1
44.5,14.3
47.8,15
48.2,14.3
50,15.3
47.3,15.3
42.8,14.2
45.1,14.5
59.6,17
49.1,14.8
48.4,16.3
42.6,13.7
44.4,17.3
44,13.6
48.7,15.7
42.7,13.7
49.6,16
45.3,13.7
49.6,15
50.5,15.9
43.6,13.9
45.5,13.9
50.5,15.9
44.9,13.3
45.2,15.8
46.6,14.2
48.5,14.1
45.1,14.4
50.1,15
46.5,14.4
45,15.4
43.8,13.9
45.5,15
43.2,14.5
50.4,15.3
45.3,13.8
46.2,14.9
45.7,13.9
54.3,15.7
45.8,14.2
49.8,16.8
46.2,14.4
49.5,16.2
43.5,14.2
50.7,15
47.7,15
46.4,15.6
48.2,15.6
46.5,14.8
46.4,15
48.6,16
47.5,14.2
51.1,16.3
45.2,13.8
45.2,16.4
49.1,14.5
52.5,15.6
47.4,14.6
50,15.9
44.9,13.8
50.8,17.3
43.4,14.4
51.3,14.2
47.5,14
52.1,17
47.5,15
52.2,17.1
45.5,14.5
49.5,16.1
44.5,14.7
50.8,15.7
49.4,15.8
46.9,14.6
48.4,14.4
51.1,16.5
48.5,15
55.9,17
47.2,15.5
49.1,15
47.3,13.8
46.8,16.1
41.7,14.7
53.4,15.8
43.3,14
48.1,15.1
50.5,15.2
49.8,15.9
43.5,15.2
51.5,16.3
46.2,14.1
55.1,16
44.5,15.7
48.8,16.2
47.2,13.7
46.8,14.3
50.4,15.7
45.2,14.8
49.9,16.1
